,Strong1,Strong2,Strong_alone,Weak,Weakest,Domain,Subdomain,median_alpha,n,median_ntail,median_meandeg
/Volumes/Durodon/gmls/Biological/Food_web/n2/Ramirez_Brito_plant-pollinator_web_Ramirez_Brito_plant-pollinator_web_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,3.1500000000000021,81,33.0,2.7885361552028218
/Volumes/Durodon/gmls/Biological/Food_web/n2/Schemske_plant-pollinator_web_Schemske_plant-pollinator_web_Biological_Food_web_n2.gml,False,False,False,False,False,Biological,Food_web,1.9400000000000008,39,39.0,3.0256410256410255
/Volumes/Durodon/gmls/Biological/Food_web/n2/Small_plant-pollinator_web_Small_plant-pollinator_web_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,2.4600000000000013,47,32.0,6.0
/Volumes/Durodon/gmls/Biological/Food_web/n2/Smallwood_Reservoir_host-parasite_web_Smallwood_Reservoir_Biological_Food_web_n2.gml,False,False,False,False,True,Biological,Food_web,2.8200000000000016,31,16.0,3.5311059907834101
/Volumes/Durodon/gmls/Biological/Food_web/n3/Arroyo_plant-pollinator_web_Elevation_1_Biological_Food_web_n3.gml,False,False,True,True,True,Biological,Food_web,2.6700000000000017,186,51.0,3.956871085903344
/Volumes/Durodon/gmls/Biological/Food_web/n3/Arroyo_plant-pollinator_web_Elevation_2_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,3.240000000000002,103,31.0,3.6220598538684818
/Volumes/Durodon/gmls/Biological/Food_web/n3/Barrett_Helenurm_plant-pollinator_web_Biological_Food_web_n3.gml,True,True,True,True,True,Biological,Food_web,2.0850000000000009,114,113.0,2.9470551378446115
/Volumes/Durodon/gmls/Biological/Food_web/n3/Clements_Long_plant-pollinator_web_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,1.7150000000000007,371,366.0,5.0308069080347346
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_AkatoreA_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.9800000000000018,85,19.0,2.6705882352941175
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_AkatoreB_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.0500000000000007,58,31.0,2.0172413793103448
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Berwick_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,3.700000000000002,79,23.0,3.037974683544304
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Blackrock_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.3200000000000007,87,32.0,4.3103448275862073
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Broad_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,1.6200000000000006,95,53.0,5.9473684210526319
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Catlins_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.9800000000000018,49,17.0,2.2448979591836733
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Coweeta17_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.640000000000001,71,25.0,2.084507042253521
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Coweeta1_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.6900000000000013,58,17.0,2.1724137931034484
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_DempstersAu_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,1.7800000000000007,86,44.5,4.8255813953488369
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_DempstersSp_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.2950000000000008,97,33.5,5.5463917525773194
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_DempstersSu_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,1.7400000000000007,107,65.0,9.0280373831775709
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_German_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,4.1000000000000014,86,28.0,4.1046511627906979
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Healy_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.1750000000000007,96,42.0,6.604166666666667
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Kyeburn_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,1.8250000000000006,98,38.5,6.4183673469387754
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_LilKyeburn_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.0050000000000008,78,34.0,4.8076923076923075
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Martins_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,3.740000000000002,105,26.0,3.2666666666666666
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Narrowdale_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,2.2000000000000006,71,36.0,2.183098591549296
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_NorthCol_Biological_Food_web_n3.gml,False,False,False,True,True,Biological,Food_web,2.640000000000001,78,50.0,3.0897435897435899
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Powder_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,2.2300000000000013,78,50.0,3.4358974358974357
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Stony_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,1.6400000000000006,113,51.0,7.3628318584070795
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_SuttonAu_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,1.5900000000000003,83,29.0,4.0361445783132526
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_SuttonSp_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,3.5150000000000023,79,17.5,4.9493670886075947
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_SuttonSu_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.6000000000000014,92,32.0,4.5978260869565215
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Troy_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,2.2100000000000009,78,46.0,2.3205128205128207
/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Venlaw_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.5400000000000014,69,29.0,2.7101449275362319
/Volumes/Durodon/gmls/Biological/Food_web/n3/Inouye_Pyke_plant-pollinator_web_Inouye_Pyke_plant-pollinator_web_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,1.975000000000001,133,87.5,4.2846569548872182
/Volumes/Durodon/gmls/Biological/Food_web/n3/Kato_plant-pollinator_web_Kato_plant-pollinator_web_Biological_Food_web_n3.gml,True,True,True,True,True,Biological,Food_web,2.140000000000001,770,766.0,3.1309736015618368
/Volumes/Durodon/gmls/Biological/Food_web/n3/Kevan_plant-pollinator_web_Kevan_plant-pollinator_web_Biological_Food_web_n3.gml,False,False,True,True,True,Biological,Food_web,2.0700000000000007,147,93.0,4.2448979591836737
/Volumes/Durodon/gmls/Biological/Food_web/n3/McCullen_plant-pollinator_web_McCullen_plant-pollinator_web_Biological_Food_web_n3.gml,True,True,True,True,True,Biological,Food_web,2.180000000000001,159,154.5,2.6030188679245283
/Volumes/Durodon/gmls/Biological/Food_web/n3/Memmott_plant-pollinator_web_Memmott_plant-pollinator_web_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.5800000000000014,104,30.0,5.75
/Volumes/Durodon/gmls/Biological/Food_web/n3/Vazquez_Simberloff_plant-pollinator_webs_Arroyo_Goye_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,1.975000000000001,90,21.5,3.4603174603174605
/Volumes/Durodon/gmls/Biological/Food_web/n3/Vazquez_Simberloff_plant-pollinator_webs_Cerro_Lopez_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,1.6500000000000006,90,32.0,2.2000000000000002
/Volumes/Durodon/gmls/Biological/Food_web/n3/Vazquez_Simberloff_plant-pollinator_webs_Llao_Llao_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,1.8000000000000007,90,29.0,2.25
/Volumes/Durodon/gmls/Biological/Food_web/n3/Vazquez_Simberloff_plant-pollinator_webs_Mascardi_c_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,1.5600000000000005,90,24.0,2.8888888888888888
/Volumes/Durodon/gmls/Biological/Food_web/n3/Vazquez_Simberloff_plant-pollinator_webs_Mascardi_nc_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.1100000000000008,90,35.0,2.4615384615384617
/Volumes/Durodon/gmls/Biological/Food_web/n3/Vazquez_Simberloff_plant-pollinator_webs_Quetrihue_c_Biological_Food_web_n3.gml,False,False,False,False,False,Biological,Food_web,2.8700000000000014,90,16.5,3.568253968253968
/Volumes/Durodon/gmls/Biological/Food_web/n3/Vazquez_Simberloff_plant-pollinator_webs_Quetrihue_nc_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.2800000000000007,90,23.0,2.0869565217391304
/Volumes/Durodon/gmls/Biological/Food_web/n3/Vazquez_Simberloff_plant-pollinator_webs_Safariland_Biological_Food_web_n3.gml,False,False,False,False,True,Biological,Food_web,2.0900000000000007,90,21.0,2.9179211469534052
/Volumes/Durodon/gmls/Biological/Metabolic/n3/Metabolic_networks_from_KEGG_2006_mge_Biological_Metabolic_n3.gml,False,True,False,True,True,Biological,Metabolic,2.430000000000001,358,214.5,4.6905740762229993
/Volumes/Durodon/gmls/Biological/Metabolic/n3/Metabolic_networks_from_KEGG_2006_mpn_Biological_Metabolic_n3.gml,False,True,True,True,True,Biological,Metabolic,2.4100000000000015,375,226.0,4.7460790960451975
/Volumes/Durodon/gmls/Biological/Metabolic/n3/Metabolic_networks_from_KEGG_2006_mpu_Biological_Metabolic_n3.gml,True,True,True,True,True,Biological,Metabolic,2.5000000000000013,385,218.5,4.8223304473304474
/Volumes/Durodon/gmls/Biological/Metabolic/n3/Metabolic_networks_from_KEGG_2006_uur_Biological_Metabolic_n3.gml,True,True,True,True,True,Biological,Metabolic,2.5600000000000014,321,180.0,4.6474766355140193
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_aae_Biological_Metabolic_n4.gml,True,True,True,True,True,Biological,Metabolic,2.3200000000000007,926,103.0,5.1296092676222269
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_afu_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.6650000000000014,909,476.0,4.5919818462682507
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_ana_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7700000000000014,1362,539.0,5.3346207229497313
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_ape_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.5900000000000016,805,427.0,4.7589819803083788
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_atc_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.8300000000000014,1589,694.0,5.5419038235070275
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_ath_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7500000000000018,1561,659.0,5.5547499865056604
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_atu_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.8300000000000014,1593,695.0,5.5379652223614499
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_bas_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7300000000000013,664,246.0,4.7351198006890236
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_bbu_Biological_Metabolic_n4.gml,False,True,False,True,True,Biological,Metabolic,2.4150000000000009,505,360.5,4.6683637760327752
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_bha_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.5900000000000016,1267,325.0,5.3915438901772612
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_bja_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.8600000000000017,1746,787.0,5.6656801718620695
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_blo_Biological_Metabolic_n4.gml,True,True,True,True,True,Biological,Metabolic,2.5200000000000014,854,297.0,5.0832029865966106
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_bme_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7600000000000016,1574,645.0,5.4580888375087211
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_bms_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7800000000000016,1405,571.0,5.3738033741534128
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_bsu_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.5900000000000016,1380,346.0,5.4760305476004518
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_buc_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7400000000000011,638,265.0,5.0024488965621554
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cac_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.6000000000000014,1081,421.0,5.2363099497337533
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_ccr_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7900000000000018,1421,555.0,5.272758480255777
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cef_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7100000000000017,1166,479.0,5.4048896614849742
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cel_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7600000000000016,1307,544.0,5.4827385053705715
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cgl_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7600000000000016,1379,562.0,5.4300936719026245
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cje_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.4600000000000013,851,139.0,5.1163613570522735
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cmu_Biological_Metabolic_n4.gml,True,True,True,True,True,Biological,Metabolic,2.410000000000001,650,90.0,4.6429431438127082
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cpa_Biological_Metabolic_n4.gml,True,True,True,True,True,Biological,Metabolic,2.4000000000000008,659,97.0,4.7286529074504582
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cpe_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.6700000000000017,1068,417.0,5.1746724214011941
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cpj_Biological_Metabolic_n4.gml,True,True,True,True,True,Biological,Metabolic,2.410000000000001,660,98.0,4.740114257327372
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cpn_Biological_Metabolic_n4.gml,True,True,True,True,True,Biological,Metabolic,2.410000000000001,660,98.0,4.7369597615499259
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_cte_Biological_Metabolic_n4.gml,True,True,True,True,True,Biological,Metabolic,2.1500000000000008,1000,70.0,5.3187199148029816
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_ctr_Biological_Metabolic_n4.gml,False,True,False,True,True,Biological,Metabolic,2.3150000000000008,652,326.0,4.6152658486707558
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_dme_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7100000000000017,1372,542.0,5.3966754159583559
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_dra_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.660000000000001,1185,484.0,5.4091600345828992
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_ecc_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7600000000000016,1533,682.0,5.6316671313480207
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_ece_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.8000000000000016,1604,729.0,5.7106928192339659
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_ecj_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7900000000000018,1635,745.0,5.7273997274423989
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_eco_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.7900000000000018,1641,748.0,5.7370561118367505
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_ecs_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.8000000000000016,1601,730.0,5.7177458532861412
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_fnu_Biological_Metabolic_n4.gml,False,False,False,False,False,Biological,Metabolic,2.680000000000001,1031,372.0,4.8825874233113851
/Volumes/Durodon/gmls/Biological/Metabolic/n4/Metabolic_networks_from_KEGG_2006_hal_Biological_Metabolic_n4.gml,True,True,True,True,True,Biological,Metabolic,2.4900000000000007,808,432.0,5.0190717347596827
