,Domain,Subdomain,num_edges,Graph_order,Weighted,Directed,Bipartite,Multigraph,Multiplex,Component,fp_gml,n,alpha,xmin,ntail,Lpl,ppl,dexp,dln,dstrexp,dplwc
Beehler_seed-disperser_web_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,119.0,2.0,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Beehler_seed-disperser_web_Biological_Food_web_n2.gml,40.0,3.23,7.0,15.0,-37.9460037599,0.495,0.0,0.0,0.0,0.0
Bluthgen_plant-ant_web_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,285.0,2.0,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Bluthgen_plant-ant_web_Biological_Food_web_n2.gml,92.0,1.8,2.0,73.0,-214.710725393,0.002,-1.0,-1.0,-1.0,-1.0
Cold_Lake_host-parasite_web_Cold_Lake_Biological_Food_web_n2.gml_multiplexprevalence_bipartitefulldistribution.txt,Biological,Food_web,91.0,2.0,0,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Cold_Lake_host-parasite_web_Cold_Lake_Biological_Food_web_n2.gml,50.0,2.42,3.0,24.0,-55.4356787246,0.458,0.0,0.0,0.0,0.0
Dupont_plant-pollinator_web_Biological_Food_web_n2.gml_bipartitefulldistribution.txt,Biological,Food_web,106.0,2.0,0,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Dupont_plant-pollinator_web_Biological_Food_web_n2.gml,49.0,3.29,6.0,14.0,-32.5770289872,0.461,0.0,0.0,0.0,0.0
Elberling_Olesen_plant-pollinator_web_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,238.0,2.0,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Elberling_Olesen_plant-pollinator_web_Biological_Food_web_n2.gml,141.0,1.88,1.0,141.0,-264.526265004,0.019,1.0,0.0,0.0,-1.0
Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web_Biological_Food_web_n2.gml_bipartiteb_weightedsimplifieddistribution.txt,Biological,Food_web,22.0,2.0,simplified,0,b,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n2/Fonseca_Ganade_plant-ant_web_Fonseca_Ganade_plant-ant_web_Biological_Food_web_n2.gml,16.0,6.33,4.0,5.0,-4.41710085554,0.266,0.0,0.0,0.0,0.0
Joern_plant-herbivore_webs_Altuda_Biological_Food_web_n2.gml_bipartitefulldistribution.txt,Biological,Food_web,184.0,2.0,0,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Joern_plant-herbivore_webs_Altuda_Biological_Food_web_n2.gml,74.0,3.07,6.0,26.0,-64.3306306732,0.067,0.0,0.0,0.0,0.0
Joern_plant-herbivore_webs_Marathon_Biological_Food_web_n2.gml_bipartitefulldistribution.txt,Biological,Food_web,184.0,2.0,0,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Joern_plant-herbivore_webs_Marathon_Biological_Food_web_n2.gml,74.0,3.07,6.0,26.0,-64.3306306732,0.065,0.0,0.0,0.0,0.0
Leather_plant-herbivore_webs_Britain_Biological_Food_web_n2.gml_bipartitefulldistribution.txt,Biological,Food_web,116.0,2.0,0,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Leather_plant-herbivore_webs_Britain_Biological_Food_web_n2.gml,94.0,2.41,1.0,94.0,-103.34171319,0.039,1.0,0.0,1.0,0.0
Leather_plant-herbivore_webs_Finland_Biological_Food_web_n2.gml_bipartitefulldistribution.txt,Biological,Food_web,95.0,2.0,0,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Leather_plant-herbivore_webs_Finland_Biological_Food_web_n2.gml,69.0,2.19,1.0,69.0,-92.713159011,0.695,0.0,0.0,0.0,0.0
Mosquin_Martin_plant-pollinator_web_Mosquin_Martin_plant-pollinator_web_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,38.0,2.0,simplified,0,full,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n2/Mosquin_Martin_plant-pollinator_web_Mosquin_Martin_plant-pollinator_web_Biological_Food_web_n2.gml,29.0,2.38,2.0,17.0,-32.159533685,0.1,0.0,0.0,0.0,-1.0
Motten_plant-pollinator_web_Motten_plant-pollinator_web_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,143.0,2.0,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Motten_plant-pollinator_web_Motten_plant-pollinator_web_Biological_Food_web_n2.gml,57.0,2.82,5.0,23.0,-56.80430624,0.376,0.0,0.0,0.0,0.0
Olesen_plant-pollinator_web_Flores_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,30.0,2.0,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Olesen_plant-pollinator_web_Flores_Biological_Food_web_n2.gml,22.0,3.67,3.0,11.0,-15.283461714,0.843,0.0,0.0,0.0,0.0
Olesen_plant-pollinator_web_Ile_aux_Aigrettes_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,52.0,2.0,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Olesen_plant-pollinator_web_Ile_aux_Aigrettes_Biological_Food_web_n2.gml,27.0,2.89,3.0,19.0,-35.281100071,0.914,0.0,0.0,0.0,0.0
Ollerton_plant-pollinator_web_Ollerton_plant-pollinator_web_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,103.0,2.0,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Ollerton_plant-pollinator_web_Ollerton_plant-pollinator_web_Biological_Food_web_n2.gml,65.0,1.92,1.0,65.0,-115.736414201,0.45,0.0,0.0,0.0,-1.0
Parsnip_and_McGregor_host-parasite_webs_McGregor_River_Biological_Food_web_n2.gml_multiplexprevalence_bipartitefulldistribution.txt,Biological,Food_web,114.0,2.0,0,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Parsnip_and_McGregor_host-parasite_webs_McGregor_River_Biological_Food_web_n2.gml,65.0,1.79,1.0,65.0,-136.582250983,0.052,0.0,-1.0,-1.0,-1.0
Parsnip_and_McGregor_host-parasite_webs_Parsnip_River_Biological_Food_web_n2.gml_multiplexintensity_bipartitefulldistribution.txt,Biological,Food_web,158.0,2.0,0,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Parsnip_and_McGregor_host-parasite_webs_Parsnip_River_Biological_Food_web_n2.gml,70.0,1.96,2.0,51.0,-130.427140793,0.01,0.0,-1.0,-1.0,-1.0
Poulin_seed-disperser_web_Poulin_seed-disperser_web_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,53.0,2.0,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Poulin_seed-disperser_web_Poulin_seed-disperser_web_Biological_Food_web_n2.gml,24.0,2.78,4.0,13.0,-29.4730466159,0.099,-1.0,0.0,-1.0,-1.0
Ramirez_Brito_plant-pollinator_web_Ramirez_Brito_plant-pollinator_web_Biological_Food_web_n2.gml_bipartitefulldistribution.txt,Biological,Food_web,109.0,2.0,0,0,full,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n2/Ramirez_Brito_plant-pollinator_web_Ramirez_Brito_plant-pollinator_web_Biological_Food_web_n2.gml,81.0,3.15,3.0,33.0,-55.2859637224,0.681,0.0,0.0,0.0,0.0
Schemske_plant-pollinator_web_Schemske_plant-pollinator_web_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,59.0,2.0,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Schemske_plant-pollinator_web_Schemske_plant-pollinator_web_Biological_Food_web_n2.gml,39.0,1.94,1.0,39.0,-68.4733500074,0.051,0.0,0.0,0.0,0.0
Small_plant-pollinator_web_Small_plant-pollinator_web_Biological_Food_web_n2.gml_bipartitefull_weightedsimplifieddistribution.txt,Biological,Food_web,141.0,2.0,simplified,0,full,0,0,connected,/Volumes/Durodon/gmls/Biological/Food_web/n2/Small_plant-pollinator_web_Small_plant-pollinator_web_Biological_Food_web_n2.gml,47.0,2.46,4.0,32.0,-82.4075694581,0.123,0.0,0.0,0.0,-1.0
Smallwood_Reservoir_host-parasite_web_Smallwood_Reservoir_Biological_Food_web_n2.gml_multiplexintensity_bipartitefull_largestcompdistribution.txt,Biological,Food_web,51.0,2.0,0,0,full,0,0,largest,/Volumes/Durodon/gmls/Biological/Food_web/n2/Smallwood_Reservoir_host-parasite_web_Smallwood_Reservoir_Biological_Food_web_n2.gml,28.0,2.82,3.0,16.0,-30.6483798537,0.133,0.0,0.0,0.0,0.0
Arroyo_plant-pollinator_web_Elevation_1_Biological_Food_web_n3.gml_bipartitefull_largestcompdistribution.txt,Biological,Food_web,363.0,3.0,0,0,full,0,0,largest,/Volumes/Durodon/gmls/Biological/Food_web/n3/Arroyo_plant-pollinator_web_Elevation_1_Biological_Food_web_n3.gml,182.0,2.67,5.0,51.0,-132.961069138,0.421,0.0,0.0,0.0,-1.0
Arroyo_plant-pollinator_web_Elevation_2_Biological_Food_web_n3.gml_bipartitefull_largestcompdistribution.txt,Biological,Food_web,179.0,3.0,0,0,full,0,0,largest,/Volumes/Durodon/gmls/Biological/Food_web/n3/Arroyo_plant-pollinator_web_Elevation_2_Biological_Food_web_n3.gml,97.0,3.24,5.0,31.0,-67.0113285027,0.163,0.0,0.0,0.0,0.0
Barrett_Helenurm_plant-pollinator_web_Biological_Food_web_n3.gml_bipartitefull_weightedsimplified_largestcompdistribution.txt,Biological,Food_web,166.0,3.0,simplified,0,full,0,0,largest,/Volumes/Durodon/gmls/Biological/Food_web/n3/Barrett_Helenurm_plant-pollinator_web_Biological_Food_web_n3.gml,112.0,2.08,1.0,112.0,-168.559928528,0.166,1.0,0.0,0.0,0.0
Clements_Long_plant-pollinator_web_Biological_Food_web_n3.gml_bipartitefull_largestcompdistribution.txt,Biological,Food_web,918.0,3.0,0,0,full,0,0,largest,/Volumes/Durodon/gmls/Biological/Food_web/n3/Clements_Long_plant-pollinator_web_Biological_Food_web_n3.gml,361.0,1.71,1.0,361.0,-842.015371281,0.0,1.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_AkatoreA_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,227.0,3.0,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_AkatoreA_Biological_Food_web_n3.gml,85.0,3.64,7.0,12.0,-27.504313296,0.93,0.0,0.0,0.0,0.0
Freshwater_stream_webs_AkatoreB_Biological_Food_web_n3.gml_directedtotaldistribution.txt,Biological,Food_web,117.0,3.0,0,total,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_AkatoreB_Biological_Food_web_n3.gml,58.0,2.35,3.0,31.0,-73.9492277885,0.306,0.0,0.0,0.0,0.0
Freshwater_stream_webs_Berwick_Biological_Food_web_n3.gml_directedtotaldistribution.txt,Biological,Food_web,240.0,3.0,0,total,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Berwick_Biological_Food_web_n3.gml,79.0,3.7,9.0,23.0,-58.0387964018,0.964,0.0,0.0,0.0,0.0
Freshwater_stream_webs_Blackrock_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,375.0,3.0,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Blackrock_Biological_Food_web_n3.gml,87.0,2.32,5.0,32.0,-95.9206949268,0.666,0.0,0.0,0.0,-1.0
Freshwater_stream_webs_Broad_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,565.0,3.0,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Broad_Biological_Food_web_n3.gml,95.0,1.72,4.0,34.0,-135.452761699,0.102,-1.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_Catlins_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,110.0,3.0,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Catlins_Biological_Food_web_n3.gml,49.0,1.76,1.0,25.0,-54.2022171343,0.581,0.0,0.0,0.0,0.0
Freshwater_stream_webs_Coweeta17_Biological_Food_web_n3.gml_directedtotaldistribution.txt,Biological,Food_web,148.0,3.0,0,total,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Coweeta17_Biological_Food_web_n3.gml,71.0,2.64,4.0,27.0,-64.5642449876,0.308,0.0,0.0,0.0,0.0
Freshwater_stream_webs_Coweeta1_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,126.0,3.0,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Coweeta1_Biological_Food_web_n3.gml,58.0,3.27,4.0,17.0,-32.382748865,0.342,0.0,0.0,0.0,0.0
Freshwater_stream_webs_DempstersAu_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,415.0,3.0,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_DempstersAu_Biological_Food_web_n3.gml,86.0,1.83,2.0,56.0,-159.54900336,0.006,2.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_DempstersSp_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,538.0,3.0,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_DempstersSp_Biological_Food_web_n3.gml,97.0,2.21,5.0,36.0,-113.281537712,0.059,0.0,0.0,0.0,-1.0
Freshwater_stream_webs_DempstersSu_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,966.0,3.0,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_DempstersSu_Biological_Food_web_n3.gml,107.0,1.87,7.0,48.0,-185.139723895,0.286,-1.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_German_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,353.0,3.0,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_German_Biological_Food_web_n3.gml,86.0,1.67,1.0,72.0,-175.603834721,0.011,0.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_Healy_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,634.0,3.0,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Healy_Biological_Food_web_n3.gml,96.0,1.82,3.0,52.0,-175.045289215,0.003,-1.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_Kyeburn_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,629.0,3.0,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Kyeburn_Biological_Food_web_n3.gml,98.0,1.55,4.0,35.0,-145.688368256,0.005,-1.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_LilKyeburn_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,375.0,3.0,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_LilKyeburn_Biological_Food_web_n3.gml,78.0,2.63,5.0,32.0,-84.649769769,0.592,0.0,0.0,0.0,0.0
Freshwater_stream_webs_Martins_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,343.0,3.0,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Martins_Biological_Food_web_n3.gml,105.0,2.26,3.0,40.0,-100.259293083,0.133,0.0,0.0,0.0,0.0
Freshwater_stream_webs_Narrowdale_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,155.0,3.0,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Narrowdale_Biological_Food_web_n3.gml,71.0,2.2,2.0,25.0,-53.2901172609,0.427,1.0,0.0,0.0,0.0
Freshwater_stream_webs_NorthCol_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,241.0,3.0,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_NorthCol_Biological_Food_web_n3.gml,78.0,4.03,6.0,15.0,-29.2478076896,0.837,0.0,0.0,0.0,0.0
Freshwater_stream_webs_Powder_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,268.0,3.0,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Powder_Biological_Food_web_n3.gml,78.0,3.55,7.0,17.0,-39.759081466,0.444,0.0,0.0,0.0,-1.0
Freshwater_stream_webs_Stony_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,832.0,3.0,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Stony_Biological_Food_web_n3.gml,113.0,1.73,3.0,58.0,-209.518508792,0.034,-1.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_SuttonAu_Biological_Food_web_n3.gml_directedtotaldistribution.txt,Biological,Food_web,335.0,3.0,0,total,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_SuttonAu_Biological_Food_web_n3.gml,83.0,3.74,12.0,25.0,-70.0866815571,0.64,-1.0,0.0,-1.0,-1.0
Freshwater_stream_webs_SuttonSp_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,391.0,3.0,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_SuttonSp_Biological_Food_web_n3.gml,79.0,1.53,4.0,22.0,-94.0899409804,0.0,-1.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_SuttonSu_Biological_Food_web_n3.gml_directedtotaldistribution.txt,Biological,Food_web,423.0,3.0,0,total,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_SuttonSu_Biological_Food_web_n3.gml,92.0,2.62,10.0,32.0,-108.565212255,0.276,0.0,0.0,0.0,0.0
