,Domain,Subdomain,num_edges,Graph_order,Weighted,Directed,Bipartite,Multigraph,Multiplex,Component,fp_gml,n,alpha,xmin,ntail,Lpl,ppl,dexp,dln,dstrexp,dplwc
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_39_Social_Political_n3.gml_weighted3distribution.txt,Social,Political,199,3,w3,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_39_Social_Political_n3.gml,130,1.9900000000000009,1.0,130.0,-215.29803502475534,0.20000000000000001,1.0,0.0,0.0,-1.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_39_Social_Political_n3.gml_weighted3_largestcompdistribution.txt,Social,Political,107,3,w3,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_39_Social_Political_n3.gml,87,2.390000000000001,1.0,87.0,-97.18861501469209,0.22900000000000001,1.0,0.0,1.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_81_Social_Political_n3.gml_weighted2distribution.txt,Social,Political,1019,3,w2,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_81_Social_Political_n3.gml,327,1.7000000000000006,1.0,327.0,-766.28373331130342,0.0060000000000000001,2.0,-1.0,0.0,-1.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_81_Social_Political_n3.gml_weighted2_largestcompdistribution.txt,Social,Political,1018,3,w2,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_81_Social_Political_n3.gml,325,1.7000000000000006,1.0,325.0,-764.84387394267992,0.0060000000000000001,1.0,-1.0,0.0,-1.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_81_Social_Political_n3.gml_weighted3distribution.txt,Social,Political,445,3,w3,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_81_Social_Political_n3.gml,315,2.3100000000000014,1.0,315.0,-379.73825384229934,0.0,1.0,0.0,1.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_81_Social_Political_n3.gml_weighted3_largestcompdistribution.txt,Social,Political,443,3,w3,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_81_Social_Political_n3.gml,311,2.3000000000000007,1.0,311.0,-378.30521204346206,0.0,1.0,0.0,0.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_51_Social_Political_n2.gml_weighted2distribution.txt,Social,Political,141,2,w2,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_51_Social_Political_n2.gml,73,2.5900000000000016,3.0,40.0,-84.757724823576694,0.64800000000000002,0.0,0.0,0.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_51_Social_Political_n2.gml_weighted2_largestcompdistribution.txt,Social,Political,140,2,w2,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_51_Social_Political_n2.gml,71,2.5900000000000016,3.0,40.0,-84.757724823576694,0.65200000000000002,0.0,0.0,0.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_51_Social_Political_n2.gml_weighted3distribution.txt,Social,Political,91,2,w3,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_51_Social_Political_n2.gml,61,2.4800000000000013,2.0,37.0,-65.977732813316123,0.29299999999999998,1.0,0.0,1.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_51_Social_Political_n2.gml_weighted3_largestcompdistribution.txt,Social,Political,25,2,w3,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_51_Social_Political_n2.gml,19,2.8000000000000016,2.0,13.0,-19.401310178146428,0.56699999999999995,0.0,0.0,0.0,0.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex2.0_directedindistribution.txt,Biological,Connectome,1349,3,0,in,0,0,sub_1,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,274,2.2700000000000014,8.0,56.0,-199.81620955037801,0.21199999999999999,0.0,0.0,0.0,-1.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex2.0_directedoutdistribution.txt,Biological,Connectome,1349,3,0,out,0,0,sub_1,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,274,5.0400000000000036,16.0,17.0,-44.164195167871497,0.83199999999999985,0.0,0.0,2.0,0.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex2.0_directedtotaldistribution.txt,Biological,Connectome,1349,3,0,total,0,0,sub_1,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,274,2.5900000000000016,12.0,79.0,-285.2219178192733,0.076999999999999999,0.0,-1.0,-1.0,-1.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex3.0_directedtotaldistribution.txt,Biological,Connectome,489,3,0,total,0,0,sub_2,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,260,2.6000000000000014,5.0,59.0,-157.60598420601372,0.56399999999999995,0.0,0.0,0.0,0.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex4.0_directedindistribution.txt,Biological,Connectome,1633,3,0,in,0,0,sub_3,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,355,2.080000000000001,5.0,91.0,-305.84628228419916,0.001,0.0,-1.0,-1.0,-1.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex4.0_directedoutdistribution.txt,Biological,Connectome,1633,3,0,out,0,0,sub_3,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,355,2.7900000000000018,5.0,129.0,-321.49805545370981,0.154,0.0,0.0,1.0,0.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex4.0_directedtotaldistribution.txt,Biological,Connectome,1633,3,0,total,0,0,sub_3,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,355,2.6300000000000017,11.0,97.0,-337.40766640891673,0.34100000000000003,0.0,0.0,0.0,0.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex5.0_directedtotaldistribution.txt,Biological,Connectome,320,3,0,total,0,0,sub_4,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,207,2.2900000000000009,2.0,111.0,-222.52463000747761,0.67700000000000005,1.0,0.0,1.0,0.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex6.0_directedindistribution.txt,Biological,Connectome,1134,3,0,in,0,0,sub_5,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,331,2.0500000000000007,4.0,79.0,-250.39942234180057,0.021000000000000001,0.0,-1.0,-1.0,-1.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex6.0_directedoutdistribution.txt,Biological,Connectome,1134,3,0,out,0,0,sub_5,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,331,2.8400000000000016,5.0,80.0,-196.1364130495158,0.107,0.0,0.0,0.0,-1.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex6.0_directedtotaldistribution.txt,Biological,Connectome,1134,3,0,total,0,0,sub_5,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,331,2.680000000000001,11.0,64.0,-219.4922354275509,0.13300000000000001,0.0,0.0,0.0,-1.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex7.0_directedtotaldistribution.txt,Biological,Connectome,183,3,0,total,0,0,sub_6,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,141,2.2700000000000014,2.0,63.0,-127.75375571456892,0.26400000000000001,0.0,0.0,1.0,0.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex8.0_directedindistribution.txt,Biological,Connectome,619,3,0,in,0,0,sub_7,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,228,1.7000000000000006,1.0,134.0,-316.61606959870272,0.0,0.0,-1.0,-1.0,-1.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex8.0_directedoutdistribution.txt,Biological,Connectome,619,3,0,out,0,0,sub_7,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,228,2.1300000000000008,2.0,108.0,-241.68569814763092,0.02,0.0,-1.0,0.0,-1.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex8.0_directedtotaldistribution.txt,Biological,Connectome,619,3,0,total,0,0,sub_7,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,228,2.330000000000001,5.0,82.0,-244.7236394844218,0.012999999999999999,2.0,0.0,0.0,-1.0
Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml_multiplex9.0_directedtotaldistribution.txt,Biological,Connectome,216,3,0,total,0,0,sub_8,entire,/Volumes/Durodon/gmls/Biological/Connectome/n3/Rat_brain_2011-2013_Rat_rattus_norvegicus_brain_2_2012_Biological_Connectome_n3.gml,128,2.4900000000000007,3.0,56.0,-124.71964286230551,0.10800000000000001,0.0,0.0,0.0,-1.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_87_Social_Political_n3.gml_weighted2distribution.txt,Social,Political,1034,3,w2,0,0,0,0,connected,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_87_Social_Political_n3.gml,439,2.0400000000000009,6.0,48.0,-174.44656071430791,0.070999999999999994,1.0,0.0,1.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_87_Social_Political_n3.gml_weighted3distribution.txt,Social,Political,775,3,w3,0,0,0,0,connected,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_House_87_Social_Political_n3.gml,437,2.0400000000000009,1.0,437.0,-682.38717440753896,0.0,1.0,-1.0,0.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_58_Social_Political_n2.gml_weighted2distribution.txt,Social,Political,243,2,w2,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_58_Social_Political_n2.gml,76,2.7600000000000016,4.0,45.0,-102.7528316111603,0.114,1.0,1.0,1.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_58_Social_Political_n2.gml_weighted2_largestcompdistribution.txt,Social,Political,242,2,w2,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_58_Social_Political_n2.gml,74,2.7600000000000016,4.0,45.0,-102.7528316111603,0.10199999999999999,1.0,1.0,1.0,0.0
Freshwater_stream_webs_Blackrock_Biological_Food_web_n3.gml_directedindistribution.txt,Biological,Food_web,375,3,0,in,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Blackrock_Biological_Food_web_n3.gml,87,2.3200000000000007,5.0,32.0,-95.92069492681938,0.66600000000000004,0.0,0.0,0.0,-1.0
Freshwater_stream_webs_Blackrock_Biological_Food_web_n3.gml_directedoutdistribution.txt,Biological,Food_web,375,3,0,out,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Blackrock_Biological_Food_web_n3.gml,87,1.8400000000000007,2.0,51.0,-143.55270194379531,0.002,0.0,-1.0,-1.0,-1.0
Freshwater_stream_webs_Blackrock_Biological_Food_web_n3.gml_directedtotaldistribution.txt,Biological,Food_web,375,3,0,total,0,0,0,entire,/Volumes/Durodon/gmls/Biological/Food_web/n3/Freshwater_stream_webs_Blackrock_Biological_Food_web_n3.gml,87,3.0900000000000016,10.0,31.0,-92.97881357061577,0.77100000000000002,0.0,0.0,0.0,-1.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_96_Social_Political_n3.gml_weighted3distribution.txt,Social,Political,101,3,w3,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n3/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_96_Social_Political_n3.gml,40,2.7300000000000013,5.0,18.0,-45.909422132434422,0.12300000000000001,-1.0,0.0,-1.0,-1.0
ISCAS89_Benchmark_Circuits__s420_bench_Technological_Digital_Circuit_n3.gml_directedtotaldistribution.txt,Technological,Digital_Circuit,354,3,0,total,0,0,0,entire,/Volumes/Durodon/gmls/Technological/Digital_Circuit/n3/ISCAS89_Benchmark_Circuits__s420_bench_Technological_Digital_Circuit_n3.gml,249,6.5000000000000044,4.0,71.0,-54.247028081196497,0.41799999999999998,0.0,0.0,0.0,0.0
World_subways_2009_Paris-2009_Transportation_Subway_n3.gml_multigraphsimplifieddistribution.txt,Transportation,Subway,356,3,0,0,0,simplified,0,connected,/Volumes/Durodon/gmls/Transportation/Subway/n3/World_subways_2009_Paris-2009_Transportation_Subway_n3.gml,299,5.4200000000000044,4.0,46.0,-49.768639396067847,0.65500000000000003,0.0,0.0,0.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_32_Social_Political_n2.gml_weighted2distribution.txt,Social,Political,97,2,w2,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_32_Social_Political_n2.gml,56,2.2500000000000009,2.0,39.0,-80.110697696751913,0.82599999999999985,0.0,0.0,0.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_32_Social_Political_n2.gml_weighted2_largestcompdistribution.txt,Social,Political,96,2,w2,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_32_Social_Political_n2.gml,54,2.2500000000000009,2.0,39.0,-80.110697696751913,0.80900000000000005,0.0,0.0,0.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_32_Social_Political_n2.gml_weighted3distribution.txt,Social,Political,73,2,w3,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_32_Social_Political_n2.gml,52,2.5100000000000016,2.0,31.0,-54.29326362176198,0.80400000000000005,0.0,0.0,1.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_32_Social_Political_n2.gml_weighted3_largestcompdistribution.txt,Social,Political,72,2,w3,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_32_Social_Political_n2.gml,50,2.5100000000000016,2.0,31.0,-54.29326362176198,0.82399999999999984,0.0,0.0,1.0,0.0
Fungal_growth_networks_Pv_M_I+4R_U_N_15d_2_Biological_Tissue_n3.gml_multiplexpathscore_multigraphsimplifieddistribution.txt,Biological,Tissue,381,3,0,0,0,simplified,sub_pathscore,connected,/Volumes/Durodon/gmls/Biological/Tissue/n3/Fungal_growth_networks_Pv_M_I+4R_U_N_15d_2_Biological_Tissue_n3.gml,318,1.8600000000000008,1.0,318.0,-613.20907836896708,0.0,-1.0,-1.0,-1.0,-1.0
Fungal_growth_networks_Pv_M_I+4R_U_N_15d_2_Biological_Tissue_n3.gml_multiplexconductance_multigraphsimplifieddistribution.txt,Biological,Tissue,381,3,0,0,0,simplified,sub_conductance,connected,/Volumes/Durodon/gmls/Biological/Tissue/n3/Fungal_growth_networks_Pv_M_I+4R_U_N_15d_2_Biological_Tissue_n3.gml,318,1.8600000000000008,1.0,318.0,-613.20907836896708,0.0,-1.0,-1.0,-1.0,-1.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_35_Social_Political_n2.gml_weighted2distribution.txt,Social,Political,107,2,w2,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_35_Social_Political_n2.gml,49,2.7500000000000018,4.0,24.0,-54.832827535713264,0.14999999999999999,0.0,0.0,0.0,-1.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_35_Social_Political_n2.gml_weighted2_largestcompdistribution.txt,Social,Political,42,2,w2,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_35_Social_Political_n2.gml,28,3.8300000000000023,4.0,9.0,-14.522467071828268,0.30199999999999999,0.0,0.0,0.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_35_Social_Political_n2.gml_weighted3distribution.txt,Social,Political,71,2,w3,0,0,0,0,entire,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_35_Social_Political_n2.gml,46,4.280000000000002,5.0,11.0,-18.242289445745442,0.20200000000000001,0.0,0.0,0.0,0.0
US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_35_Social_Political_n2.gml_weighted3_largestcompdistribution.txt,Social,Political,26,2,w3,0,0,0,0,largest,/Volumes/Durodon/gmls/Social/Political/n2/US_Congress_roll-call_votes_1789-2009_Rollcall_US_Senate_35_Social_Political_n2.gml,23,2.8000000000000016,2.0,14.0,-20.820282214349184,0.11600000000000001,0.0,0.0,0.0,0.0
Metabolic_networks_from_KEGG_2006_mge_Biological_Metabolic_n3.gml_multigraphsimplifieddistribution.txt,Biological,Metabolic,823,3,0,0,0,simplified,0,entire,/Volumes/Durodon/gmls/Biological/Metabolic/n3/Metabolic_networks_from_KEGG_2006_mge_Biological_Metabolic_n3.gml,358,2.3200000000000007,2.0,339.0,-668.37636813615245,0.053999999999999999,1.0,0.0,1.0,-1.0
Metabolic_networks_from_KEGG_2006_mge_Biological_Metabolic_n3.gml_multigraphsimplified_largestcompdistribution.txt,Biological,Metabolic,806,3,0,0,0,simplified,0,largest,/Volumes/Durodon/gmls/Biological/Metabolic/n3/Metabolic_networks_from_KEGG_2006_mge_Biological_Metabolic_n3.gml,337,2.5400000000000014,5.0,90.0,-245.79254527243756,0.42799999999999999,1.0,0.0,0.0,0.0
Fungal_growth_networks_Pv_L_I+4xR_U_N_155d_3_Biological_Tissue_n3.gml_multiplexpathscore_multigraphsimplifieddistribution.txt,Biological,Tissue,495,3,0,0,0,simplified,sub_pathscore,entire,/Volumes/Durodon/gmls/Biological/Tissue/n3/Fungal_growth_networks_Pv_L_I+4xR_U_N_155d_3_Biological_Tissue_n3.gml,425,1.8800000000000008,1.0,425.0,-799.76398434679095,0.0,-1.0,-1.0,-1.0,-1.0
